"filename", "language", "YAML", "Gradle", "Properties", "C++", "XML", "Swift", "Markdown", "CMake", "JSON", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 1, 4, 45
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\analytic_info_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\coach_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 5, 83
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\discussions_info_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\gym_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 4, 37
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\market_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 89, 10, 340
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\person_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\recipe_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 5, 54
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\referal_info_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\models\trainee_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 1, 4, 69
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 152, 9, 402
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\responsive_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 10, 62
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\auth\sign_up_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 4, 176
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\analytic_cards.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 8, 62
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\analytic_info_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 65
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\bar_chart_users.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 4, 175
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\custom_appbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\dashboard_content.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 36, 4, 141
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\discussion_info_detail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 5, 62
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\discussions.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 4, 65
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\drawer_list_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\screens\components\drawer_menu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 1, 7, 125
